tmem154	NM_001130587	chr1	-	25165259	25177051	25165276	25176950	8	25165259,25167695,25169972,25173819,25174129,25174919,25175138,25176895,	25165311,25167769,25170024,25174029,25174174,25174958,25175177,25177051,
creb1a	NM_200909	chr1	-	33547531	33557843	33548408	33556386	8	33547531,33549790,33553506,33554232,33555685,33555995,33556296,33557735,	33548553,33549941,33553689,33554372,33555786,33556142,33556395,33557843,
gpc5a	NM_001302236	chr1	-	3100243	3295045	3100243	3295045	8	3100243,3104841,3159643,3221037,3224506,3227352,3284475,3294888,	3100332,3104992,3159764,3221163,3224646,3228041,3284637,3295045,
frem3	NM_001137659	chr1	-	35614666	35653718	35614666	35653718	24	35614666,35615285,35617470,35617765,35618964,35619214,35620554,35620842,35623272,35623697,35624894,35625451,35627837,35628131,35628413,35628669,35629905,35630268,35632484,35633272,35633658,35636591,35648487,35648689,	35615188,35615432,35617658,35617892,35619099,35619342,35620659,35621035,35623604,35623829,35625198,35625610,35627968,35628314,35628578,35628867,35630115,35630418,35632736,35633398,35633889,35636738,35648577,35653718,
wdr17	NM_001201544	chr1	+	38776293	38803495	38776293	38802422	28	38776293,38778159,38778595,38780463,38781225,38782603,38784488,38784778,38785243,38785439,38785628,38786978,38791214,38791450,38791661,38791921,38793807,38793958,38794208,38794381,38795720,38797329,38797573,38799505,38799718,38799906,38802036,38802302,	38776416,38778343,38778826,38780715,38781348,38782791,38784657,38784870,38785326,38785526,38785793,38787181,38791364,38791581,38791787,38792077,38793872,38794091,38794300,38794481,38795860,38797441,38797715,38799608,38799820,38800002,38802220,38803495,
dctd	NM_001017639	chr1	-	39813232	39859457	39813946	39859353	6	39813232,39823967,39840003,39848947,39853385,39859312,	39814049,39824064,39840120,39849083,39853497,39859457,
ednraa	NM_001099445	chr1	+	36665542	36702355	36674622	36701206	8	36665542,36674552,36682819,36690872,36693079,36695003,36697949,36701071,	36665778,36675033,36682947,36691071,36693232,36695137,36698058,36702355,
caly	NM_001326550	chr1	+	49266885	49295063	49271260	49293832	5	49266885,49271258,49288178,49289633,49293661,	49266997,49271389,49288295,49289747,49295063,
ctnna2	NM_001159372	chr1	+	42279715	43035079	42279715	43035079	16	42279715,42374906,42386269,42390953,42474773,42850156,42882904,42979913,42982093,42991293,43009391,43016011,43022714,43023581,43030413,43034791,	42279817,42375102,42386436,42391220,42474977,42850237,42883057,42980006,42982250,42991494,43009543,43016125,43022896,43023687,43030548,43035079,
morc3b	NM_001003579	chr1	+	47178528	47187868	47178673	47187868	6	47178528,47181569,47181804,47184492,47184827,47187741,	47178709,47181642,47181937,47184717,47184965,47187868,
