chrom	circRNA_start	circRNA_end	strand	exonCount	exonSizes	exonOffsets	circType	geneName	isoformName	exonIndexOrIntronIndex	FlankingIntrons	CircularJunctionCount_Sample_1	LinearJunctionCount_Sample_1	CircularJunctionCount_Sample_2	LinearJunctionCount_Sample_2	PBI_Sample_1	PBI_Sample_2	deltaPBI(PBI_1-PBI_2)	pValue	FDR
chr17	5429864	5436758	-	3	107,60,179,	0,3068,6715,	circRNA	Naa35	NM_133324	10,11,12	chr17:5421904-5429864|5436758-5439581	15	53	33	645	0.3614457831325301	0.09282700421940929	0.2686187789131208	5.431872100402733e-07	0.00372611854288
chr4	127663313	127709016	-	7	143,162,97,90,153,91,83,	0,10320,19197,35668,37556,44651,45620,	circRNA	Suclg2	NM_001100750	3,4,5,6,7,8,9	chr4:127580017-127663313|127709016-127766801	19	5	5	26	0.8837209302325582	0.2777777777777778	0.6059431524547804	5.764558380012064e-07	0.00372611854288
chr7	78520232	78574310	+	2	242,142,	0,53936,	circRNA	Rims2	NM_053945	24,25	chr7:78482426-78520232|78574310-78589087	14	52	79	65	0.35	0.7085201793721974	-0.3585201793721974	1.0168779210469682e-06	0.00372611854288
chr11	46644894	46659944	-	4	86,245,21,59,	0,2000,9704,14991,	circRNA	Impg2	NM_139088	9,10,11,12	chr11:46631817-46644894|46659944-46671094	7	284	10	3313	0.04697986577181208	0.006000600060006	0.04097926571180608	1.1338512112216802e-06	0.00372611854288
chr17	5559656	5571375	+	5	117,692,84,87,149,	0,3862,10090,11402,11570,	circRNA	Agtpbp1	NM_001106100	14,15,16,17,18	chr17:5555588-5559656|5571375-5582855	32	330	68	2059	0.16243654822335024	0.06195899772209567	0.10047755050125456	1.6141881852353097e-06	0.00424370073898
chr3	3413578	3414759	-	2	162,263,	0,918,	circRNA	Camsap1	NM_001168549	16,17	chr3:3403096-3413578|3414759-3433534	24	207	77	217	0.18823529411764706	0.41509433962264153	-0.22685904550499447	2.3409731982523337e-06	0.00499731291462
chr10	35876012	35876397	+	2	134,136,	0,249,	circRNA	Hnrnph1	NM_080896	6,7	chr10:35875956-35876012|35876397-35877075	79	356	109	1050	0.30739299610894943	0.1719242902208202	0.13546870588812923	2.6611784254338854e-06	0.00499731291462
chr17	5555490	5571375	+	6	98,117,692,84,87,149,	0,4166,8028,14256,15568,15736,	circRNA	Agtpbp1	NM_001106100	13,14,15,16,17,18	chr17:5548199-5555490|5571375-5582855	90	164	132	1374	0.5232558139534884	0.16117216117216118	0.36208365278132726	3.32662133118481e-06	0.00523271894994
chr6	80149000	80150524	-	2	118,68,	0,1456,	circRNA	Trappc6b	NM_001106733	4,5	chr6:80147680-80149000|80150524-80152957	30	77	25	191	0.43795620437956206	0.2074688796680498	0.23048732471151226	3.5826907987415688e-06	0.00523271894994
chr17	27440590	27442626	-	3	81,113,93,	0,163,1943,	circRNA	Riok1	NM_001100511	10,11,12	chr17:27439430-27440590|27442626-27444059	13	17	4	46	0.6046511627906976	0.14814814814814814	0.4565030146425495	4.1169955249414254e-06	0.00541179061754
chr17	5582855	5591590	+	5	88,145,154,181,130,	0,4970,6610,7657,8605,	circRNA	Agtpbp1	NM_001106100	19,20,21,22,23	chr17:5571375-5582855|5591590-5598251	5	177	4	1461	0.053475935828877004	0.005445881552076242	0.048030054276800765	5.217476511788573e-06	0.00623488443159
chr3	55888290	55898385	+	6	83,66,50,128,136,96,	0,4646,6275,6452,7684,9999,	circRNA	Bbs5	NM_001108583	2,3,4,5,6,7	chr3:55886785-55888290|55898385-55901997	31	11	28	52	0.8493150684931506	0.5185185185185185	0.33079654997463215	6.266130497030862e-06	0.00686402378196
chrX	113375592	113404936	-	11	89,89,95,99,175,193,164,149,150,157,177,	0,185,5570,8669,11667,15274,16203,18446,21700,26833,29167,	circRNA	Gucy2f	NM_053831	2,3,4,5,6,7,8,9,10,11,12	chrX:113372390-113375592|113404936-113415579	7	141	25	129	0.09032258064516129	0.27932960893854747	-0.18900702829338617	1.1417468661192151e-05	0.0107021699216
chr17	5546406	5571375	+	8	209,178,98,117,692,84,87,149,	0,1615,9084,13250,17112,23340,24652,24820,	circRNA	Agtpbp1	NM_001106100	11,12,13,14,15,16,17,18	chr17:5543087-5546406|5571375-5582855	14	136	32	968	0.17073170731707318	0.06201550387596899	0.10871620344110419	1.1559917486875806e-05	0.0107021699216
chr11	87898054	87899561	+	3	192,101,130,	0,712,1377,	circRNA	Pi4ka	NM_022301	11,12,13	chr11:87896738-87898054|87899561-87900973	18	107	12	257	0.2517482517482518	0.08540925266903915	0.16633899907921262	1.2212441903691077e-05	0.0107021699216
chr2	56577638	56593224	-	3	167,136,118,	0,14301,15468,	circRNA	Egflam	NM_001108938	17,18,19	chr2:56550036-56577638|56593224-56605567	9	16	10	112	0.5294117647058824	0.15151515151515152	0.37789661319073087	1.3444078610100543e-05	0.0110023209894
chr2	152807001	152807924	-	3	88,103,141,	0,415,782,	circRNA	Dhx36	NM_001107678	14,15,16	chr2:152806113-152807001|152807924-152810126	9	77	4	219	0.18947368421052632	0.03524229074889868	0.15423139346162765	1.4228943082475931e-05	0.0110023209894
chr6	72418119	72421935	-	3	142,127,174,	0,1669,3642,	circRNA	Strn3	NM_001029897	12,13,14	chr6:72412711-72418119|72421935-72423555	22	21	15	62	0.676923076923077	0.32608695652173914	0.3508361204013378	2.0585963497938338e-05	0.0142723593562
chr12	37628206	37628640	+	2	168,176,	0,258,	circRNA	Sbno1	NM_001107138	18,19	chr12:37627179-37628206|37628640-37629146	10	100	1	126	0.16666666666666666	0.015625	0.15104166666666666	2.062950382403714e-05	0.0142723593562
chrX	113415579	113453798	-	6	90,132,97,85,355,302,	0,7812,13305,17380,18824,37917,	circRNA	Gucy2f	NM_053831	13,14,15,16,17,18	chrX:113404936-113415579|113453798-113466275	41	149	99	181	0.354978354978355	0.5224274406332454	-0.16744908565489042	5.798703944878704e-05	0.0381119816777
chr17	5532156	5571375	+	11	132,94,38,209,178,98,117,692,84,87,149,	0,5290,10893,14250,15865,23334,27500,31362,37590,38902,39070,	circRNA	Agtpbp1	NM_001106100	8,9,10,11,12,13,14,15,16,17,18	chr17:5530105-5532156|5571375-5582855	10	349	20	2309	0.05420054200542006	0.017028522775649212	0.03717201922977084	6.284454258081518e-05	0.0393376910583
chr6	76487879	76492176	-	2	72,862,	0,3435,	circRNA	Ralgapa1	NM_020083	8,9	chr6:76461552-76487879|76492176-76500537	57	210	142	296	0.35185185185185186	0.4896551724137931	-0.13780332056194122	6.701749528653361e-05	0.0400429534337
chr13	52126057	52128003	-	2	111,129,	0,1817,	circRNA	Timm17a	NM_019351	2,3	chr13:52125104-52126057|52128003-52132080	4	22	1	104	0.26666666666666666	0.018867924528301886	0.24779874213836478	8.026517615045097e-05	0.0458732930651
chr17	5524116	5537540	+	6	125,68,64,147,132,94,	0,3176,4873,5842,8040,13330,	circRNA	Agtpbp1	NM_001106100	4,5,6,7,8,9	chr17:5514081-5524116|5537540-5543049	6	168	8	1170	0.06666666666666667	0.013490725126475547	0.05317594154019112	8.614013405486154e-05	0.0471796692563
chrX	128186177	128198293	-	11	103,179,185,132,129,158,142,276,165,180,118,	0,323,995,1266,1685,3005,3606,4644,8196,9945,11998,	circRNA	Thoc2	NM_001191756	11,12,13,14,15,16,17,18,19,20,21	chrX:128172115-128186177|128198293-128202171	1	129	14	184	0.015267175572519083	0.1320754716981132	-0.11680829612559412	0.0001040378489337107	0.0527746250041
chr4	34586896	34602713	+	4	87,114,153,211,	0,8921,12722,15606,	circRNA	Glcci1	NM_001177442	6,7,8,9	chr4:34570100-34586896|34602713-34610174	13	93	5	156	0.2184873949579832	0.060240963855421686	0.1582464311025615	0.00010438495626518877	0.0527746250041
chr4	58093734	58109685	-	11	172,140,63,126,104,76,244,94,189,68,134,	0,783,1376,2046,3152,4082,6422,7201,13915,15198,15817,	circRNA	Copg2	NM_001106929	5,6,7,8,9,10,11,12,13,14,15	chr4:58066584-58093734|58109685-58143323	15	52	7	97	0.36585365853658536	0.12612612612612611	0.23972753241045924	0.0001160725726528675	0.0551026150226
chrX	123718251	123720910	-	2	161,183,	0,2476,	circRNA	Upf3b	NM_001135873	3,4	chrX:123717432-123718251|123720910-123721314	121	103	153	229	0.7014492753623188	0.5719626168224299	0.12948665853988894	0.00011737339069101295	0.0551026150226
chr9	44746902	44761047	-	4	153,169,127,64,	0,7656,13214,14081,	circRNA	Rev1	NM_001108213	18,19,20,21	chr9:44744184-44746902|None	1	114	11	123	0.017241379310344827	0.15172413793103448	-0.13448275862068965	0.00013220746825374913	0.0579662785625
chr9	66517097	66518856	+	2	134,152,	0,1607,	circRNA	Nop58	NM_021754	13,14	chr9:66515093-66517097|66518856-66519549	4	51	1	202	0.13559322033898305	0.00980392156862745	0.1257892987703556	0.00013229276202923905	0.0579662785625
chr3	79991514	79992568	-	3	157,236,179,	0,302,875,	circRNA	Madd	NM_053585	25,26,27	chr3:79989679-79991514|79992568-79995193	1	43	11	43	0.044444444444444446	0.3384615384615385	-0.294017094017094	0.00014510387023362775	0.0615287217491
chr9	28444520	28451547	-	4	140,102,113,139,	0,953,4266,6888,	circRNA	Rims1	NM_052829	2,3,4,5	chr9:28443028-28444520|28451547-28502813	3	27	9	9	0.18181818181818182	0.6666666666666666	-0.4848484848484848	0.00019039480549712455	0.0746994169635
chr14	15112119	15127296	+	4	90,69,158,155,	0,8879,12750,15022,	circRNA	Cnot6l	NM_001108355	5,6,7,8	chr14:15091475-15112119|15127296-15133876	7	32	1	56	0.30434782608695654	0.034482758620689655	0.2698650674662669	0.00019110129197007588	0.0746994169635
chr6	22033341	22038870	-	2	1395,59,	0,5470,	circRNA	Birc6	NM_001170596	65,66	chr6:22019210-22033341|22038870-22044897	23	84	44	63	0.35384615384615387	0.5827814569536424	-0.2289353031074885	0.00019321264182256708	0.0746994169635
chr17	5587825	5606503	+	7	145,154,181,130,132,177,161,	0,1640,2687,3635,10426,16273,18517,	circRNA	Agtpbp1	NM_001106100	20,21,22,23,24,25,26	chr17:5582943-5587825|5606503-5613741	3	158	1	938	0.036585365853658534	0.002127659574468085	0.034457706279190446	0.00021376487433300107	0.0802839792316
chr5	128678698	128681202	+	3	87,120,52,	0,843,2452,	circRNA	Nrdc	NM_012993	17,18,19	chr5:128677249-128678698|128681202-128683046	54	113	45	187	0.48868778280542985	0.3249097472924188	0.16377803551301107	0.00022863639485384545	0.0834840391765
chr19	29664469	29671928	-	5	98,141,118,124,173,	0,2113,4858,6034,7286,	circRNA	Inpp4b	NM_053917	4,5,6,7,8	chr19:29645344-29664469|29671928-29691443	1	82	9	76	0.023809523809523808	0.19148936170212766	-0.16767983789260385	0.00028231203155030095	0.0978256028956
chr10	85164767	85166817	-	2	64,110,	0,1940,	circRNA	Npepps	NM_080395	10,11	chr10:85162508-85164767|85166817-85169571	18	176	10	280	0.16981132075471697	0.06666666666666667	0.1031446540880503	0.0002919565351819435	0.0978256028956
chr18	69647501	69657373	-	4	213,30,175,377,	0,7003,7640,9495,	circRNA	Smad4	NM_019275	10,11,12,13	chr18:69643779-69647501|None	44	21	69	88	0.8073394495412844	0.6106194690265486	0.19671998051473583	0.0002925349493417801	0.0978256028956
chr1	143712490	143718900	-	3	147,156,139,	0,5664,6271,	circRNA	Hdgfrp3	NM_145785	2,3,4	chr1:143704872-143712490|143718900-143723662	32	117	27	218	0.35359116022099446	0.19852941176470587	0.1550617484562886	0.00029768156073210295	0.0978256028956
chr5	167486000	167581074	+	8	126,106,97,105,49,125,100,99,	0,30580,32800,40170,61692,71022,72150,94975,	circRNA	Rere	NM_053885	4,5,6,7,8,9,10,11	chr5:167478473-167486000|167581074-167615349	9	11	1	19	0.6206896551724138	0.09523809523809523	0.5254515599343186	0.00031076101461629803	0.0996330131008
chr3	147743490	147752287	+	6	102,51,60,84,111,102,	0,566,1388,3600,6115,8695,	circRNA	Csnk2a1	NM_053824	5,6,7,8,9,10	chr3:147740988-147743490|147752287-147753599	5	217	1	480	0.04405286343612335	0.004149377593360996	0.039903485842762355	0.0003357633471963854	0.105085933307
chr6	73742697	73744458	+	1	1761,	0,	circRNA	Akap6	NM_022618	4	chr6:73734193-73742697|73744458-73769151	5	38	1	92	0.20833333333333334	0.02127659574468085	0.1870567375886525	0.0003537731250163644	0.108147621589
chr13	106859709	106944389	+	12	196,131,196,642,184,164,159,495,261,170,145,222,	0,2493,14785,18667,34036,48827,54690,61516,62987,64660,71028,84458,	circRNA	Ush2a	NM_001302219	9,10,11,12,13,14,15,16,17,18,19,20	chr13:106842110-106859709|106944389-107000161	8	99	3	196	0.1391304347826087	0.0297029702970297	0.109427464485579	0.00038655691841422084	0.115483879376
